report_date,report_source,report_period,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_children_cum,killed_women_cum,injured,massacres_cum,civdef_killed_cum
2023-10-07,mohtel,24,0,232.0,232.0,232,232,0,0,1610.0,1610,1610,0,6.0,6,1.0,1,,,,,
2023-10-08,mohtel,24,0,138.0,370.0,138,370,78,41,1788.0,178,1788,0,,6,1.0,1,78.0,41.0,,,
2023-10-09,mohtel,24,8,190.0,560.0,190,560,91,61,2271.0,483,2271,0,6.0,6,3.0,3,91.0,61.0,,,
2023-10-10,mohtel,24,8,340.0,900.0,340,900,260,230,4000.0,1729,4000,0,,6,7.0,7,260.0,230.0,,,
2023-10-11,gmotel,24,23,200.0,1100.0,200,1100,398,230,5184.0,1184,5184,0,10.0,10,,7,,,1029.0,,
2023-10-12,mohtel,24,23,317.0,1417.0,317,1417,500,276,5763.0,579,5763,0,11.0,11,,7,500.0,276.0,579.0,,
2023-10-13,missing,24,23,483.0,1900.0,483,1900,500,392,,1475,7238,0,11.0,11,,7,,,,,
2023-10-14,gmotel,24,23,328.0,2228.0,328,2228,600,600,8714.0,1476,8714,0,11.0,11,,7,,,,,
2023-10-15,gmotel,24,23,442.0,2670.0,442,2670,700,735,9200.0,486,9200,0,,11,,7,,,1000.0,,
2023-10-16,gmotel,24,371,138.0,2808.0,138,2808,853,936,10850.0,1650,10850,7,37.0,37,,7,853.0,936.0,562.0,371.0,7.0
2023-10-17,gmotel,24,394,192.0,3000.0,192,3000,940,936,,607,11457,7,37.0,37,16.0,16,940.0,1032.0,575.0,394.0,
2023-10-18,mohtel,24,394,478.0,3478.0,478,3478,1000,936,12065.0,608,12065,7,,37,,16,,,,,
2023-10-19,mohtel,24,394,307.0,3785.0,307,3785,1524,936,12493.0,428,12493,7,44.0,44,,16,1524.0,1000.0,,,
2023-10-20,mohtel,24,431,352.0,4137.0,352,4137,1756,936,13162.0,669,13162,7,46.0,46,,16,,,669.0,,
2023-10-21,mohtel,24,460,248.0,4385.0,248,4385,1756,967,13561.0,399,13561,7,51.0,51,,16,1756.0,967.0,400.0,,
2023-10-22,mohtel,24,484,266.0,4651.0,266,4651,1873,1023,14245.0,684,14245,7,54.0,54,,16,1873.0,1023.0,,,
2023-10-23,mohtel,24,507,436.0,5087.0,436,5087,2055,1119,15273.0,1028,15273,7,57.0,57,,16,2055.0,1119.0,,,
2023-10-24,mohtel,24,644,704.0,5791.0,704,5791,2360,1292,16297.0,1024,16297,7,65.0,65,,16,2360.0,1292.0,,644.0,
2023-10-25,mohtel,24,688,756.0,6547.0,756,6547,2704,1584,17439.0,1142,17439,7,73.0,73,,16,2704.0,1584.0,1142.0,,
2023-10-26,mohtel,24,731,481.0,7028.0,481,7028,3038,1600,18482.0,1043,18482,7,101.0,101,,16,,,,,
2023-10-27,mohtel,24,772,298.0,7326.0,298,7326,3038,1726,18967.0,485,18967,7,104.0,104,,16,3038.0,1726.0,,772.0,
